Date,market_value,balance,stock_owned,price,action,amount
2023-02-15,190556.6090150391,2066.7349916016137,69,2731.7373046875,buy,0
2023-02-16,191896.1119447266,2066.7349916016137,69,2751.150390625,buy,0
2023-02-17,193766.70935683599,2066.7349916016137,69,2778.260498046875,buy,0
2023-02-20,193222.10462050786,2066.7349916016137,69,2770.36767578125,buy,0
2023-02-21,192650.44568496099,2066.7349916016137,69,2762.082763671875,buy,0
2023-02-22,191219.57166152349,2066.7349916016137,69,2741.345458984375,buy,0
2023-02-23,185130.86072402349,2066.7349916016137,69,2653.103271484375,buy,0
2023-02-24,187332.9478822266,2066.7349916016137,69,2685.017578125,buy,0
2023-02-27,188104.17786269536,2066.7349916016137,69,2696.19482421875,buy,0
2023-02-28,193441.97473769536,2066.7349916016137,69,2773.55419921875,buy,0
2023-03-01,194260.54114394536,2066.7349916016137,69,2785.41748046875,buy,0
2023-03-02,193786.99158339849,2066.7349916016137,69,2778.554443359375,buy,0
2023-03-03,193445.34387832036,2066.7349916016137,69,2773.60302734375,buy,0
2023-03-06,195860.56287246099,2066.7349916016137,69,2808.606201171875,buy,0
2023-03-08,195522.28430800786,2066.7349916016137,69,2803.70361328125,buy,0
2023-03-09,195116.38709121099,2066.7349916016137,69,2797.821044921875,buy,0
2023-03-10,193536.6812806641,2066.7349916016137,69,2774.9267578125,buy,0
2023-03-13,190424.65662246099,2066.7349916016137,69,2729.824951171875,buy,0
2023-03-14,187813.30310683599,2066.7349916016137,69,2691.979248046875,buy,0
2023-03-15,193347.25134902349,2066.7349916016137,69,2772.181396484375,buy,0
2023-03-16,197802.18176894536,2066.7349916016137,69,2836.74560546875,buy,0
2023-03-17,195731.99646621099,2066.7349916016137,69,2806.742919921875,sell,0
2023-03-20,195224.58704238286,2066.7349916016137,69,2799.38916015625,buy,0
2023-03-21,194138.79724746099,2066.7349916016137,69,2783.653076171875,buy,0
2023-03-22,194189.5533509766,2066.7349916016137,69,2784.388671875,buy,0
2023-03-23,191344.75208144536,2066.7349916016137,69,2743.15966796875,buy,0
2023-03-24,191392.10535292974,2066.7349916016137,69,2743.845947265625,buy,0
2023-03-27,191747.28015761724,2066.7349916016137,69,2748.993408203125,buy,0
2023-03-28,190441.5865541016,2066.7349916016137,69,2730.0703125,buy,0
2023-03-29,189497.83972792974,2066.7349916016137,69,2716.392822265625,sell,0
2023-03-31,188899.10974746099,2066.7349916016137,69,2707.715576171875,buy,0
2023-04-03,189937.5631166016,2066.7349916016137,69,2722.765625,buy,0
2023-04-05,192068.6119447266,2066.7349916016137,69,2753.650390625,buy,0
2023-04-06,192159.9830384766,2066.7349916016137,69,2754.974609375,buy,0
2023-04-10,189893.59583144536,2066.7349916016137,69,2722.12841796875,buy,0
2023-04-11,188368.06580214849,2066.7349916016137,69,2700.019287109375,buy,0
2023-04-12,190597.1734681641,2066.7349916016137,69,2732.3251953125,buy,0
2023-04-13,192153.19422011724,2066.7349916016137,69,2754.876220703125,buy,0
2023-04-17,194409.4234681641,2066.7349916016137,69,2787.5751953125,buy,0
2023-04-18,195187.40857558599,2066.7349916016137,69,2798.850341796875,buy,0
2023-04-19,192149.8082337891,2066.7349916016137,69,2754.8271484375,buy,0
2023-04-20,194460.12903457036,2066.7349916016137,69,2788.31005859375,sell,0
2023-04-21,197047.8648744141,2066.7349916016137,69,2825.8134765625,buy,0
2023-04-24,197656.71912246099,2066.7349916016137,69,2834.637451171875,buy,0
2023-04-25,198123.51355605474,2066.7349916016137,69,2841.402587890625,buy,0
2023-04-26,198935.34168105474,2066.7349916016137,69,2853.168212890625,buy,0
2023-04-27,198255.4322572266,2066.7349916016137,69,2843.314453125,buy,0
2023-04-28,198417.80798964849,2066.7349916016137,69,2845.667724609375,buy,0
2023-05-02,198228.37805800786,2066.7349916016137,69,2842.92236328125,buy,0
2023-05-03,200268.10632949224,2066.7349916016137,69,2872.483642578125,buy,0
2023-05-04,203863.82166152349,2066.7349916016137,69,2924.595458984375,buy,0
2023-05-05,205900.18079238286,2066.7349916016137,69,2954.10791015625,buy,0
2023-05-08,206339.8873353516,2066.7349916016137,69,2960.48046875,buy,0
2023-05-09,207378.37439589849,2066.7349916016137,69,2975.531005859375,buy,0
2023-05-10,207823.67695644536,5047.544143945364,68,2982.001953125,sell,1
2023-05-11,214380.89570644536,5047.544143945364,68,3078.431640625,buy,0
2023-05-12,213804.17402675786,5047.544143945364,68,3069.950439453125,buy,0
2023-05-15,213864.18867519536,5047.544143945364,68,3070.8330078125,buy,0
2023-05-16,214270.86055019536,5047.544143945364,68,3076.8134765625,buy,0
2023-05-17,211227.29609707036,5047.544143945364,68,3032.05517578125,buy,0
2023-05-18,212334.05586269536,5047.544143945364,68,3048.3310546875,buy,0
2023-05-19,210693.90449550786,5047.544143945364,68,3024.211181640625,buy,0
2023-05-22,210722.71025947272,2021.681695019583,69,3024.652587890625,buy,1
2023-05-23,213137.91240791022,2021.681695019583,69,3059.655517578125,buy,0
2023-05-24,211845.74590400397,2021.681695019583,69,3040.928466796875,buy,0
2023-05-25,213337.4834528321,2021.681695019583,69,3062.5478515625,buy,0
2023-05-26,213665.58721259772,2021.681695019583,69,3067.302978515625,buy,0
2023-05-29,214274.4414606446,2021.681695019583,69,3076.126953125,buy,0
2023-05-30,214748.02471259772,2021.681695019583,69,3082.990478515625,buy,0
2023-05-31,218032.54937080084,2021.681695019583,69,3130.59228515625,buy,0
2023-06-01,221262.94878486334,2021.681695019583,69,3177.40966796875,buy,0
2023-06-02,221029.5684137696,2021.681695019583,69,3174.02734375,buy,0
2023-06-05,218492.58867744147,2021.681695019583,69,3137.259521484375,buy,0
2023-06-06,219372.06914619147,2021.681695019583,69,3150.005615234375,buy,0
2023-06-07,220158.2113541016,74714.46574863287,46,3161.820556640625,sell,23
2023-06-08,219592.18449863285,74714.46574863287,46,3149.515625,buy,0
2023-06-09,219117.71965488285,74714.46574863287,46,3139.201171875,buy,0
2023-06-12,219762.43840488285,74714.46574863287,46,3153.216796875,buy,0
2023-06-13,222854.3099869141,74714.46574863287,46,3220.431396484375,buy,0
2023-06-14,223158.3174260743,447.9978459961567,69,3227.685791015625,buy,23
2023-06-15,224803.01395927742,447.9978459961567,69,3251.52197265625,buy,0
2023-06-16,226335.33280693367,447.9978459961567,69,3273.7294921875,buy,0
